std,n_points,dimension,setup1,construct1,reduce1,setup2,construct2,reduce2,update,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
2.0,20,2,0.0001239039993379265,0.00019697999232448637,0.0008026180003071204,0.00013653500354848802,0.00017253599071409553,0.0007260939892148599,0.0012843529984820634,4212,4313,4721,446,443,467
2.0,20,2,0.00014143000589683652,0.0002103890001308173,0.0005521740094991401,7.867599197197706e-05,0.00014472899783868343,0.000633716001175344,0.0009977779991459101,4212,4313,4721,446,443,467
2.0,20,3,0.00017491199832875282,0.00045854800555389374,0.004374039999675006,0.00018880500283557922,0.00041593199421186,0.0017639449943089858,0.0050670979981077835,30498,10937,13442,3111,1852,2069
2.0,20,3,0.00016193900955840945,0.0007949930004542693,0.004928017995553091,0.00022387399803847075,0.00044891600555274636,0.0015116089925868437,0.004518148998613469,30498,10937,13442,3111,1852,2069
2.0,30,2,0.00020647300698328763,0.0005323340010363609,0.0038688329950673506,0.00013367598876357079,0.0004536850028671324,0.0026163869915762916,0.008586092997575179,32505,25817,38535,1129,1074,1438
2.0,30,2,0.0002007899893214926,0.0004988319997210056,0.003205532004358247,0.00011472600453998893,0.0007215249934233725,0.004546840995317325,0.009153822000371292,32505,25817,38535,1129,1074,1438
2.0,30,3,0.0002207670040661469,0.0025502560019958764,0.030880844991770573,0.00013452100392896682,0.0017901020037243143,0.018295479007065296,0.052884608987369575,196351,124809,158319,11024,8129,9630
2.0,30,3,0.0002627810026751831,0.0021852280042367056,0.02552143100183457,0.0001621189876459539,0.0017313830030616373,0.015149209997616708,0.046091855998383835,196351,124809,158319,11024,8129,9630
3.0,20,2,0.00020665500778704882,0.00026537499797996134,0.0007806349894963205,0.00010253601067233831,0.00014170099166221917,0.00045726800453849137,0.0011678890004986897,5674,4169,5611,470,425,469
3.0,20,2,7.416399603243917e-05,0.00014842899690847844,0.0005592039960902184,5.8770005125552416e-05,0.0001302659948123619,0.0005054890061728656,0.0010967870039166883,5674,4169,5611,470,425,469
3.0,20,3,6.801499694120139e-05,0.00045309000415727496,0.002153135006665252,9.020799188874662e-05,0.0002669950044946745,0.0011392290034564212,0.002959855002700351,18427,9390,9929,2898,1812,2001
3.0,20,3,0.00014821499644313008,0.00040765399171505123,0.002094078008667566,9.130401303991675e-05,0.0002451269974699244,0.0010061250068247318,0.002505711992853321,18427,9390,9929,2898,1812,2001
3.0,30,2,9.711799793876708e-05,0.0004112489987164736,0.0025507440004730597,0.00018463199376128614,0.0004056719917571172,0.002156527989427559,0.005966823999187909,28904,24173,36093,1109,1077,1227
3.0,30,2,0.00019008199160452932,0.000426523998612538,0.0025168370048049837,9.773600322660059e-05,0.0003991090052295476,0.002156162998289801,0.006109711990575306,28904,24173,36093,1109,1077,1227
3.0,30,3,0.00016837099974509329,0.002572083001723513,0.04678070999216288,0.00015682500088587403,0.0015311739989556372,0.0075197390106040984,0.047843788997852243,354171,54230,114814,12559,7418,10957
3.0,30,3,0.00029295499552972615,0.002784651005640626,0.047320810990640894,0.0002185320045100525,0.0015157510060817003,0.0067890239879488945,0.04508114300551824,354171,54230,114814,12559,7418,10957
0.001,20,2,0.00014420400839298964,0.0001998999941861257,0.0007859790057409555,8.027200237847865e-05,0.00015075098781380802,0.000653537004836835,0.00039814300544094294,5699,5699,5699,459,459,459
0.001,20,2,7.020200428087264e-05,0.00015149801038205624,0.0005784300010418519,5.822700040880591e-05,0.00016667699674144387,0.000639773003058508,0.000300808998872526,5699,5699,5699,459,459,459
0.001,20,3,5.8936988352797925e-05,0.0004482560034375638,0.0035604220029199496,0.00015003100270405412,0.00046176600153557956,0.0035867410042556003,0.0021231540013104677,23244,23245,23245,2915,2916,2916
0.001,20,3,0.000157513000885956,0.00043986500531900674,0.002952045004349202,0.0001396080042468384,0.0004349020018707961,0.002729189000092447,0.0012646079994738102,23244,23245,23245,2915,2916,2916
0.001,30,2,0.000134943999000825,0.00047053099842742085,0.0026746340008685365,0.00023277400759980083,0.0004913820012006909,0.0027608410018729046,0.0013303050072863698,29197,29197,29197,1124,1124,1124
0.001,30,2,0.00035072000173386186,0.0004850249970331788,0.0034049169917125255,0.00017143698642030358,0.0005172810051590204,0.002821659989422187,0.001333877007709816,29197,29197,29197,1124,1124,1124
0.001,30,3,0.00036335499316919595,0.0028383989993017167,0.022339657007250935,0.00014543499855790287,0.0024244989908766,0.0221154679893516,0.00965632100997027,136510,145303,145599,9430,9604,9625
0.001,30,3,0.00026034199981950223,0.002329615002963692,0.017046350010787137,0.00015278499631676823,0.001900079005281441,0.01885516900802031,0.009045246988534927,136510,145303,145599,9430,9604,9625
0.01,20,2,0.00021155500144232064,0.0001597099908394739,0.0005545139865716919,7.553599425591528e-05,0.00014174899843055755,0.0004505039978539571,0.0005208139918977395,4690,4587,4610,448,446,445
0.01,20,2,7.889099651947618e-05,0.00013957900227978826,0.0006314509955700487,8.857299690134823e-05,0.00014152999210637063,0.00047029599954839796,0.00031836000562179834,4690,4587,4610,448,446,445
0.01,20,3,6.774900248274207e-05,0.00032769299286883324,0.002094195006066002,8.087098831310868e-05,0.0003447600029176101,0.0024267299886560068,0.0014586150064133108,17586,20099,20060,2369,2503,2546
0.01,20,3,0.00013410599785856903,0.0003397770051378757,0.0023138770047808066,0.00011942799028474838,0.0003525729989632964,0.00255084500531666,0.0017281449981965125,17586,20099,20060,2369,2503,2546
0.01,30,2,0.00011403299868106842,0.0004901759966742247,0.0033178110024891794,9.131000842899084e-05,0.00046259201189968735,0.003475038000033237,0.0013873799907742068,35511,33949,33748,1156,1141,1142
0.01,30,2,0.0001491900038672611,0.00048199099546764046,0.0033235029986826703,0.0002294650039402768,0.0006004859897075221,0.003138503001537174,0.0017132399952970445,35511,33949,33748,1156,1141,1142
0.01,30,3,0.0003293659974588081,0.0017514110077172518,0.02446178199897986,0.00016996100021060556,0.0021158969902899116,0.0262295509892283,0.014434971002629027,180167,192508,198560,9903,10221,10560
0.01,30,3,0.0005169079959159717,0.0017749489925336093,0.027276473003439605,0.00020249499357305467,0.0026410229911562055,0.024995446001412347,0.012550813000416383,180167,192508,198560,9903,10221,10560
